,0,1,2,3,4
0,,U.M.,Quantità,% RDA,% su tot. macronutrienti
1,Acqua,g,69.10,,
2,Calorie,kcal,151.00,,
3,Fibra alimentare,g,0.00,,
4,Proteine totali,g,8.40,,22.40
5,Proteine animali,g,8.40,,
6,Proteine vegetali,g,0.00,,
7,Glucidi disponibili,g,8.50,,21.19
8,Glucidi solubili,g,8.50,,
9,Amido,g,0.00,,
10,Lipidi totali,g,9.40,,56.40
11,Lipidi animali,g,9.40,,
12,Lipidi vegetali,g,0.00,,
13,Lipidi saturi totali,g,5.83,,
14,Acido oleico,g,2.57,,
15,Monoinsaturi totali,g,3.04,,
16,Acido linoleico,g,0.19,,
17,Acido linolenico,g,0.19,,
18,Altri polinsaturi,g,0.00,,
19,Polinsaturi totali,g,0.38,,
20,Colesterolo,mg,34.00,,
21,Alcool,g,0.00,,
22,Ferro,mg,0.30,,
23,Calcio,mg,290.00,36.25,
24,Sodio,mg,180.00,,
25,Potassio,mg,360.00,11.61,
26,Fosforo,mg,260.00,32.50,
27,Zinco,mg,0.90,9.00,
28,Tiamina (Vit.B1),mg,0.07,4.96,
29,Vitamina B6,mg,0.00,0.00,
30,Riboflavina,mg,0.42,26.25,
31,Niacina (Vit. PP),mg,0.20,1.10,
32,Vitamina C,mg,1.00,1.67,
33,Acido folico,mg,11.00,5.50,
34,Retinolo (equivalente),mcg,121.67,29.29,
35,Retinolo,mcg,105.00,,
36,Carotene,mcg,100.00,,
37,Vitamina D,mcg,0.09,0.90,
38,Vitamina E,mg,0.19,1.90,
