,0,1,2,3,4
0,,U.M.,Quantità,% RDA,% su tot. macronutrienti
1,Acqua,g,71.20,,
2,Calorie,kcal,130.00,,
3,Fibra alimentare,g,0.10,,
4,Proteine totali,g,2.30,,7.22
5,Proteine animali,g,1.70,,
6,Proteine vegetali,g,0.60,,
7,Glucidi disponibili,g,21.80,,67.34
8,Glucidi solubili,g,12.60,,
9,Amido,g,9.20,,
10,Lipidi totali,g,3.60,,25.44
11,Lipidi animali,g,3.50,,
12,Lipidi vegetali,g,0.10,,
13,Lipidi saturi totali,g,0.57,,
14,Acido oleico,g,1.53,,
15,Monoinsaturi totali,g,1.54,,
16,Acido linoleico,g,1.24,,
17,Acido linolenico,g,1.24,,
18,Altri polinsaturi,g,0.01,,
19,Polinsaturi totali,g,2.49,,
20,Colesterolo,mg,7.00,,
21,Alcool,g,0.00,,
22,Ferro,mg,0.10,,
23,Calcio,mg,88.00,11.00,
24,Sodio,mg,135.00,,
25,Potassio,mg,113.00,3.65,
26,Fosforo,mg,68.00,8.50,
27,Zinco,mg,0.30,3.00,
28,Tiamina (Vit.B1),mg,0.02,1.42,
29,Vitamina B6,mg,0.00,0.00,
30,Riboflavina,mg,0.14,8.75,
31,Niacina (Vit. PP),mg,0.30,1.65,
32,Vitamina C,mg,0.00,0.00,
33,Acido folico,mg,0.00,0.00,
34,Retinolo (equivalente),mcg,6.00,0.86,
35,Retinolo,mcg,6.00,,
36,Carotene,mcg,0.00,,
37,Vitamina D,mcg,0.03,0.30,
38,Vitamina E,mg,0.13,1.30,
