,0,1,2,3,4
0,,U.M.,Quantità,% RDA,% su tot. macronutrienti
1,Acqua,g,85.30,,
2,Calorie,kcal,28.00,,
3,Fibra alimentare,g,2.10,,
4,Proteine totali,g,0.40,,5.71
5,Proteine animali,g,0.00,,
6,Proteine vegetali,g,0.40,,
7,Glucidi disponibili,g,6.10,,81.44
8,Glucidi solubili,g,6.10,,
9,Amido,g,0.00,,
10,Lipidi totali,g,0.40,,12.85
11,Lipidi animali,g,0.00,,
12,Lipidi vegetali,g,0.40,,
13,Lipidi saturi totali,g,0.08,,
14,Acido oleico,g,0.02,,
15,Monoinsaturi totali,g,0.02,,
16,Acido linoleico,g,0.15,,
17,Acido linolenico,g,0.15,,
18,Altri polinsaturi,g,0.00,,
19,Polinsaturi totali,g,0.30,,
20,Colesterolo,mg,0.00,,
21,Alcool,g,0.00,,
22,Ferro,mg,0.30,,
23,Calcio,mg,16.00,2.00,
24,Sodio,mg,6.00,,
25,Potassio,mg,250.00,8.06,
26,Fosforo,mg,11.00,1.38,
27,Zinco,mg,0.10,1.00,
28,Tiamina (Vit.B1),mg,0.04,2.84,
29,Vitamina B6,mg,0.00,0.00,
30,Riboflavina,mg,0.05,3.12,
31,Niacina (Vit. PP),mg,0.40,2.19,
32,Vitamina C,mg,11.00,18.33,
33,Acido folico,mg,14.00,7.00,
34,Retinolo (equivalente),mcg,27.00,23.14,
35,Retinolo,mcg,0.00,,
36,Carotene,mcg,162.00,,
37,Vitamina D,mcg,0.00,0.00,
38,Vitamina E,mg,0.89,8.90,
