,0,1,2,3,4
0,,U.M.,Quantità,% RDA,% su tot. macronutrienti
1,Acqua,g,35.40,,
2,Calorie,kcal,286.00,,
3,Fibra alimentare,g,3.80,,
4,Proteine totali,g,7.00,,9.11
5,Proteine animali,g,0.00,,
6,Proteine vegetali,g,7.00,,
7,Glucidi disponibili,g,52.60,,71.28
8,Glucidi solubili,g,3.90,,
9,Amido,g,48.70,,
10,Lipidi totali,g,6.70,,19.61
11,Lipidi animali,g,0.00,,
12,Lipidi vegetali,g,6.70,,
13,Lipidi saturi totali,g,1.07,,
14,Acido oleico,g,4.69,,
15,Monoinsaturi totali,g,4.75,,
16,Acido linoleico,g,0.72,,
17,Acido linolenico,g,0.72,,
18,Altri polinsaturi,g,0.00,,
19,Polinsaturi totali,g,1.44,,
20,Colesterolo,mg,0.00,,
21,Alcool,g,0.00,,
22,Ferro,mg,1.80,,
23,Calcio,mg,114.00,14.25,
24,Sodio,mg,572.00,,
25,Potassio,mg,142.00,4.58,
26,Fosforo,mg,91.00,11.38,
27,Zinco,mg,0.90,9.00,
28,Tiamina (Vit.B1),mg,0.23,16.31,
29,Vitamina B6,mg,0.00,0.00,
30,Riboflavina,mg,0.08,5.00,
31,Niacina (Vit. PP),mg,1.30,7.13,
32,Vitamina C,mg,0.00,0.00,
33,Acido folico,mg,26.00,13.00,
34,Retinolo (equivalente),mcg,4.83,4.14,
35,Retinolo,mcg,0.00,,
36,Carotene,mcg,29.00,,
37,Vitamina D,mcg,0.00,0.00,
38,Vitamina E,mg,0.20,2.00,
