,0,1,2,3,4
0,,U.M.,Quantità,% RDA,% su tot. macronutrienti
1,Acqua,g,54.60,,
2,Calorie,kcal,258.00,,
3,Fibra alimentare,g,0.00,,
4,Proteine totali,g,22.80,,35.39
5,Proteine animali,g,22.80,,
6,Proteine vegetali,g,0.00,,
7,Glucidi disponibili,g,0.00,,0.00
8,Glucidi solubili,g,0.00,,
9,Amido,g,0.00,,
10,Lipidi totali,g,18.50,,64.61
11,Lipidi animali,g,15.00,,
12,Lipidi vegetali,g,3.50,,
13,Lipidi saturi totali,g,3.13,,
14,Acido oleico,g,6.83,,
15,Monoinsaturi totali,g,6.83,,
16,Acido linoleico,g,6.09,,
17,Acido linolenico,g,6.09,,
18,Altri polinsaturi,g,0.13,,
19,Polinsaturi totali,g,12.31,,
20,Colesterolo,mg,65.00,,
21,Alcool,g,0.00,,
22,Ferro,mg,1.90,,
23,Calcio,mg,8.00,1.00,
24,Sodio,mg,361.00,,
25,Potassio,mg,343.00,11.06,
26,Fosforo,mg,234.00,29.25,
27,Zinco,mg,0.30,3.00,
28,Tiamina (Vit.B1),mg,0.05,3.55,
29,Vitamina B6,mg,0.00,0.00,
30,Riboflavina,mg,0.12,7.50,
31,Niacina (Vit. PP),mg,11.90,65.28,
32,Vitamina C,mg,0.00,0.00,
33,Acido folico,mg,15.00,7.50,
34,Retinolo (equivalente),mcg,16.00,2.29,
35,Retinolo,mcg,16.00,,
36,Carotene,mcg,0.00,,
37,Vitamina D,mcg,4.88,48.80,
38,Vitamina E,mg,5.55,55.50,
