,0,1,2,3,4
0,,U.M.,Quantità,% RDA,% su tot. macronutrienti
1,Acqua,g,76.30,,
2,Calorie,kcal,31.00,,
3,Fibra alimentare,g,8.50,,
4,Proteine totali,g,6.00,,77.13
5,Proteine animali,g,0.00,,
6,Proteine vegetali,g,6.00,,
7,Glucidi disponibili,g,0.70,,8.41
8,Glucidi solubili,g,0.70,,
9,Amido,g,0.00,,
10,Lipidi totali,g,0.50,,14.46
11,Lipidi animali,g,0.00,,
12,Lipidi vegetali,g,0.50,,
13,Lipidi saturi totali,g,0.11,,
14,Acido oleico,g,0.00,,
15,Monoinsaturi totali,g,0.00,,
16,Acido linoleico,g,0.05,,
17,Acido linolenico,g,0.05,,
18,Altri polinsaturi,g,0.00,,
19,Polinsaturi totali,g,0.10,,
20,Colesterolo,mg,0.00,,
21,Alcool,g,0.00,,
22,Ferro,mg,3.50,,
23,Calcio,mg,24.00,3.00,
24,Sodio,mg,55.00,,
25,Potassio,mg,368.00,11.87,
26,Fosforo,mg,62.00,7.75,
27,Zinco,mg,3.80,38.00,
28,Tiamina (Vit.B1),mg,0.05,3.55,
29,Vitamina B6,mg,0.00,0.00,
30,Riboflavina,mg,0.09,5.62,
31,Niacina (Vit. PP),mg,2.00,10.97,
32,Vitamina C,mg,0.00,0.00,
33,Acido folico,mg,44.00,22.00,
34,Retinolo (equivalente),mcg,0.00,0.00,
35,Retinolo,mcg,0.00,,
36,Carotene,mcg,0.00,,
37,Vitamina D,mcg,0.00,0.00,
38,Vitamina E,mg,0.12,1.20,
