,0,1,2,3,4
0,,U.M.,Quantità,% RDA,% su tot. macronutrienti
1,Acqua,g,39.30,,
2,Calorie,kcal,271.00,,
3,Fibra alimentare,g,3.80,,
4,Proteine totali,g,5.50,,7.62
5,Proteine animali,g,2.10,,
6,Proteine vegetali,g,3.40,,
7,Glucidi disponibili,g,52.90,,74.92
8,Glucidi solubili,g,12.90,,
9,Amido,g,40.00,,
10,Lipidi totali,g,5.60,,17.46
11,Lipidi animali,g,2.30,,
12,Lipidi vegetali,g,3.30,,
13,Lipidi saturi totali,g,1.99,,
14,Acido oleico,g,2.72,,
15,Monoinsaturi totali,g,2.84,,
16,Acido linoleico,g,0.50,,
17,Acido linolenico,g,0.50,,
18,Altri polinsaturi,g,0.00,,
19,Polinsaturi totali,g,1.00,,
20,Colesterolo,mg,11.00,,
21,Alcool,g,0.00,,
22,Ferro,mg,0.00,,
23,Calcio,mg,12.00,1.50,
24,Sodio,mg,986.00,,
25,Potassio,mg,302.00,9.74,
26,Fosforo,mg,48.00,6.00,
27,Zinco,mg,1.40,14.00,
28,Tiamina (Vit.B1),mg,0.20,14.18,
29,Vitamina B6,mg,0.00,0.00,
30,Riboflavina,mg,0.19,11.88,
31,Niacina (Vit. PP),mg,0.00,0.00,
32,Vitamina C,mg,7.00,11.67,
33,Acido folico,mg,52.00,26.00,
34,Retinolo (equivalente),mcg,74.67,41.14,
35,Retinolo,mcg,32.00,,
36,Carotene,mcg,256.00,,
37,Vitamina D,mcg,0.02,0.20,
38,Vitamina E,mg,1.28,12.80,
