,0,1,2,3,4
0,,U.M.,Quantità,% RDA,% su tot. macronutrienti
1,Acqua,g,20.00,,
2,Calorie,kcal,347.00,,
3,Fibra alimentare,g,3.10,,
4,Proteine totali,g,8.20,,8.81
5,Proteine animali,g,1.20,,
6,Proteine vegetali,g,7.00,,
7,Glucidi disponibili,g,64.90,,72.80
8,Glucidi solubili,g,3.60,,
9,Amido,g,61.30,,
10,Lipidi totali,g,7.60,,18.38
11,Lipidi animali,g,5.10,,
12,Lipidi vegetali,g,2.50,,
13,Lipidi saturi totali,g,2.70,,
14,Acido oleico,g,2.62,,
15,Monoinsaturi totali,g,3.01,,
16,Acido linoleico,g,1.50,,
17,Acido linolenico,g,1.50,,
18,Altri polinsaturi,g,0.00,,
19,Polinsaturi totali,g,3.00,,
20,Colesterolo,mg,11.00,,
21,Alcool,g,0.00,,
22,Ferro,mg,1.70,,
23,Calcio,mg,70.00,8.75,
24,Sodio,mg,500.00,,
25,Potassio,mg,150.00,4.84,
26,Fosforo,mg,140.00,17.50,
27,Zinco,mg,0.00,0.00,
28,Tiamina (Vit.B1),mg,0.10,7.09,
29,Vitamina B6,mg,0.00,0.00,
30,Riboflavina,mg,0.11,6.87,
31,Niacina (Vit. PP),mg,0.70,3.84,
32,Vitamina C,mg,0.00,0.00,
33,Acido folico,mg,44.00,22.00,
34,Retinolo (equivalente),mcg,83.67,16.00,
35,Retinolo,mcg,78.00,,
36,Carotene,mcg,34.00,,
37,Vitamina D,mcg,0.62,6.20,
38,Vitamina E,mg,0.84,8.40,
