,0,1,2
1,Parte edibile (%):,100,
2,Acqua (g):,80,
3,Proteine (g):,0.4,
4,Lipidi(g):,0.1,
5,Colesterolo (mg):,0,
6,Carboidrati disponibili (g):,16.1,
7,Amido (g):,0,
8,Zuccheri solubili (g):,16.1,
9,Fibra totale (g):,0.9,
10,Fibra solubile (g):,,
11,Fibra insolubile (g):,,
12,Alcol (g):,0,
13,Energia (kcal):,63,
14,Energia (kJ):,263,
15,Sodio (mg):,10,
16,Potassio (mg):,150,
17,Ferro (mg):,0.2,
18,Calcio (mg):,19,
19,Fosforo (mg):,8,
20,Magnesio (mg):,,
21,Zinco (mg):,,
22,Rame (mg):,,
23,Selenio (µg):,,
24,Tiamina (mg):,0.01,
25,Riboflavina (mg):,0.01,
26,Niacina (mg):,0.3,
27,Vitamina A retinolo eq. (µg):,26,
28,Vitamina C (mg):,5,
29,Vitamina E (mg):,,
