Informazioni nutrizionali,Come vendutoper 100 g / 100 ml,Biscotti,Biscuits and cakes,Sugary snacks
Grassi,"19,5 g","+7%18,3 g","+6%18,4 g","-13%22,3 g"
- Acidi Grassi saturi,"2,1 g","-71%7,2 g","-72%7,41 g","-81%10,9 g"
Carboidrati,"53,5 g","-20%66,6 g","-17%64,7 g","-9%58,8 g"
- Zuccheri,19 g,"-21%23,9 g","-22%24,4 g","-29%26,8 g"
Fibra alimentare,"8,5 g","+116%3,94 g","+119%3,88 g","+94%4,39 g"
Proteine,14 g,"+100%6,99 g","+100%6,99 g","+96%7,15 g"
Sale,"0,5 g","-17%0,604 g","-15%0,591 g","+6%0,472 g"
Sodio,"0,197 g","-17%0,238 g","-15%0,233 g","+6%0,186 g"
Alcol,0 % vol,?,?,?
Nutrition score - France,8,"-46%14,8","-47%15,2","-52%16,7"
Nutri-Score,C,D,D,D
