,0,1,2
1,Parte edibile (%):,100,
2,Acqua (g):,54.9,
3,Proteine (g):,5.1,
4,Lipidi(g):,15,
5,Colesterolo (mg):,,
6,Carboidrati disponibili (g):,23.9,
7,Amido (g):,tr,
8,Zuccheri solubili (g):,23.9,
9,Fibra totale (g):,0,
10,Fibra solubile (g):,0,
11,Fibra insolubile (g):,0,
12,Alcol (g):,0,
13,Energia (kcal):,245,
14,Energia (kJ):,1025,
15,Sodio (mg):,,
16,Potassio (mg):,,
17,Ferro (mg):,,
18,Calcio (mg):,245,
19,Fosforo (mg):,102,
20,Magnesio (mg):,,
21,Zinco (mg):,,
22,Rame (mg):,,
23,Selenio (µg):,,
24,Tiamina (mg):,,
25,Riboflavina (mg):,,
26,Niacina (mg):,,
27,Vitamina A retinolo eq. (µg):,,
28,Vitamina C (mg):,,
29,Vitamina E (mg):,,
