Informazioni nutrizionali,Come vendutoper 100 g / 100 ml,Come vendutoper porzione (10 g),Spreadable fats,Animal fats,Milkfat,Butters,Fats,Spreads,Latticini
Grassi,83 g,"8,3 g","+4%79,9 g","+4%79,9 g","+4%79,9 g","+4%79,9 g","-4%86,7 g","+205%27,2 g","+439%15,4 g"
- Acidi Grassi saturi,58 g,"5,8 g","+13%51,3 g","+13%51,3 g","+13%51,3 g","+13%51,3 g",+87%31 g,+383%12 g,"+504%9,61 g"
Carboidrati,"0,7 g","0,07 g","-35%1,07 g","-35%1,07 g","-35%1,07 g","-35%1,07 g","+42%0,492 g","-98%44,9 g","-89%6,1 g"
- Zuccheri,"0,7 g","0,07 g","-1%0,708 g","-1%0,708 g","-1%0,708 g","-1%0,708 g","+114%0,327 g","-98%44,3 g","-87%5,42 g"
Proteine,"0,6 g","0,06 g","-78%2,75 g","-78%2,75 g","-78%2,75 g","-78%2,75 g","-53%1,27 g","-83%3,55 g","-92%7,89 g"
Sale,"0,02 g","0,002 g","-79%0,097 g","-79%0,097 g","-79%0,097 g","-79%0,097 g","-59%0,048 g","-88%0,172 g","-95%0,405 g"
Sodio,"0,008 g","0,001 g","-79%0,038 g","-79%0,038 g","-79%0,038 g","-79%0,038 g","-59%0,019 g","-88%0,068 g","-95%0,159 g"
Vitamina A (Retinolo),1.000 µg,100 µg,?,?,?,?,?,?,?
Nutrition score - France,19,19,"+9%17,5","+9%17,5","+9%17,5","+9%17,5","+35%14,1",+19%16,"+224%5,86"
Nutri-Score,E,E,D,D,D,D,D,D,C
