Informazioni nutrizionali,Come vendutoper 100 g / 100 ml,Sugared beverages,Bevande
Grassi,"1,7 g","+187%0,593 g","+223%0,527 g"
- Acidi Grassi saturi,"0,9 g","+543%0,14 g","+663%0,118 g"
Carboidrati,76 g,+407%15 g,"+742%9,03 g"
- Zuccheri,"50,6 g","+283%13,2 g","+527%8,07 g"
Fibra alimentare,5 g,?,"+987%0,46 g"
Proteine,"9,9 g","+705%1,23 g","+1.229%0,745 g"
Sale,"0,5 g","+749%0,059 g","+268%0,136 g"
Sodio,"0,197 g","+749%0,023 g","+268%0,054 g"
Vitamina A (Retinolo),800 µg,?,?
Vitamina E (Alfa-tocoferolo),12 mg,?,?
Vitamina C (Acido ascorbico),80 mg,?,?
Vitamina B1 (tiamina),"1,1 mg",?,?
Vitamina B2 (Riboflavina),"1,4 mg",?,?
Vitamina B3 / Vitamina PP (Niacina),16 mg,?,?
Vitamina B6 (piridoxina),"0,001 g",?,?
Vitamina B9 (Acido folico),200 µg,?,?
Vitamina B12 (Cobalamina),"2,5 µg",?,?
Vitamina B8/B7/H/I (Biotina),50 µg,?,?
Vitamina B5 (Acido pantotenico),6 mg,?,?
Calcio,300 mg,?,?
Fosforo,450 mg,?,?
Magnesio,315 mg,?,?
Nutrition score - France,17,"+48%11,5","+143%6,99"
Nutri-Score,E,E,D
