,0,1,2
1,Parte edibile (%):,100,
2,Acqua (g):,89.6,
3,Proteine (g):,1,
4,Lipidi(g):,4,
5,Colesterolo (mg):,0,
6,Carboidrati disponibili (g):,4.2,
7,Amido (g):,,
8,Zuccheri solubili (g):,,
9,Fibra totale (g):,,
10,Fibra solubile (g):,,
11,Fibra insolubile (g):,,
12,Alcol (g):,0,
13,Energia (kcal):,56,
14,Energia (kJ):,233,
15,Sodio (mg):,398,
16,Potassio (mg):,41,
17,Ferro (mg):,0.2,
18,Calcio (mg):,17,
19,Fosforo (mg):,21,
20,Magnesio (mg):,,
21,Zinco (mg):,,
22,Rame (mg):,,
23,Selenio (µg):,,
24,Tiamina (mg):,0.01,
25,Riboflavina (mg):,0.05,
26,Niacina (mg):,0.3,
27,Vitamina A retinolo eq. (µg):,3,
28,Vitamina C (mg):,tr,
29,Vitamina E (mg):,,
