Informazioni nutrizionali,Come vendutoper 100 g / 100 ml
Grassi,"3,5 g"
- Acidi Grassi saturi,"0,6 g"
Carboidrati,42 g
- Zuccheri,22 g
Fibra alimentare,"32,5 g"
Proteine,14 g
Sale,"1,3 g"
Sodio,"0,512 g"
Vitamina B1 (tiamina),"0,94 mg"
Vitamina B2 (Riboflavina),"1,19 mg"
Vitamina B3 / Vitamina PP (Niacina),"13,6 mg"
Vitamina B6 (piridoxina),"0,001 g"
Vitamina B9 (Acido folico),170 µg
Vitamina B12 (Cobalamina),"2,13 µg"
Vitamina B5 (Acido pantotenico),"5,1 mg"
Nutrition score - France,8
Nutri-Score,C
