Informazioni nutrizionali,Come vendutoper 100 g / 100 ml,Mozzarella,Pasta filata,Italian cheeses,Formaggio,Fermented foods,Fermented milk products,Latticini
Grassi,16 g,"-18%19,5 g","-19%19,7 g","-19%19,7 g","-23%20,7 g","+34%11,9 g","+34%11,9 g","+4%15,4 g"
- Acidi Grassi saturi,11 g,"-17%13,3 g","-16%13,1 g","-17%13,3 g","-20%13,7 g","+39%7,9 g","+39%7,9 g","+14%9,61 g"
Carboidrati,1 g,"+2%0,98 g","-69%3,26 g","-30%1,43 g","-59%2,46 g","-86%7,16 g","-86%7,16 g","-84%6,1 g"
- Zuccheri,"0,1 g","-87%0,779 g","-88%0,85 g","-92%1,3 g","-93%1,37 g","-98%6,16 g","-98%6,16 g","-98%5,42 g"
Proteine,17 g,"+3%16,5 g","+12%15,2 g","+8%15,8 g",+6%16 g,+70%10 g,+70%10 g,"+115%7,89 g"
Sale,"0,8 g","+25%0,641 g","+19%0,673 g","+11%0,72 g","-13%0,921 g","+51%0,529 g","+51%0,529 g","+98%0,405 g"
Sodio,"0,315 g","+25%0,252 g","+19%0,265 g","+11%0,283 g","-13%0,363 g","+51%0,208 g","+51%0,208 g","+98%0,159 g"
Calcio,360 mg,?,?,?,-31%523 mg,-4%374 mg,-4%374 mg,+34%268 mg
Nutrition score - France,10,"+6%9,43","+4%9,59","+4%9,58","-4%10,4","+58%6,32","+58%6,32","+71%5,86"
Nutri-Score,C,C,C,C,D,C,C,C
