Informazioni nutrizionali,Come vendutoper 100 g / 100 ml,Come vendutoper porzione (45 g),Mixed cereal flakes,Mueslis,Flakes,Cereal flakes,Breakfast cereals,Breakfasts,Cereals and their products,Cereali e patate,Cibi a base vegetale,Cibi e bevande a base vegetale
Grassi,25 g,"11,2 g","+81%13,8 g","+81%13,8 g","+107%12,1 g","+107%12,1 g","+121%11,3 g","+107%12,1 g","+371%5,31 g","+301%6,24 g","+134%10,7 g","+160%9,61 g"
- Acidi Grassi saturi,"6,7 g","3,02 g","+75%3,83 g","+75%3,83 g","+102%3,32 g","+102%3,32 g","+93%3,47 g","+95%3,43 g","+365%1,44 g","+294%1,7 g","+184%2,36 g","+216%2,12 g"
Carboidrati,49 g,"22,1 g","-20%61,2 g","-20%61,2 g","-22%62,7 g","-22%62,7 g","-24%64,5 g","-19%60,7 g","-19%60,4 g","-18%59,9 g","+3%47,6 g","+12%43,9 g"
- Zuccheri,12 g,"5,4 g","-42%20,7 g","-42%20,7 g",-33%18 g,-33%18 g,"-37%19,1 g",-71%42 g,"+57%7,65 g","+82%6,61 g","+40%8,59 g","+36%8,81 g"
Fibra alimentare,"5,5 g","2,48 g","-29%7,76 g","-29%7,76 g","-26%7,45 g","-26%7,45 g","-25%7,34 g","+3%5,35 g","+15%4,77 g","+16%4,75 g","+26%4,38 g","+35%4,06 g"
Proteine,14 g,"6,3 g","+52%9,21 g","+52%9,21 g","+50%9,31 g","+50%9,31 g","+52%9,21 g","+156%5,47 g","+42%9,84 g","+48%9,48 g","+80%7,76 g",+100%7 g
Sale,"0,5 g","0,225 g","+81%0,277 g","+81%0,277 g","+40%0,358 g","+40%0,358 g","-0%0,502 g","+71%0,292 g","+63%0,307 g","-31%0,729 g","-16%0,593 g","-6%0,533 g"
Sodio,"0,197 g","0,089 g","+81%0,109 g","+81%0,109 g","+40%0,141 g","+40%0,141 g","-0%0,198 g","+71%0,115 g","+63%0,121 g","-31%0,287 g","-16%0,233 g","-6%0,21 g"
Vitamina D (colecalciferolo),"2,8 µg","1,26 µg",?,?,?,?,?,?,?,?,?,?
Vitamina B1 (tiamina),"0,62 mg","0,279 mg",?,?,?,?,?,?,?,?,?,"-13%0,71 mg"
Vitamina B2 (Riboflavina),"0,78 mg","0,351 mg",?,?,?,?,?,?,?,?,?,?
Vitamina B3 / Vitamina PP (Niacina),9 mg,"4,05 mg",?,?,?,?,?,?,?,?,?,?
Vitamina B6 (piridoxina),"0,001 g",0 g,?,?,?,?,?,?,?,?,?,?
Vitamina B9 (Acido folico),112 µg,"50,4 µg",?,?,?,?,?,?,?,?,?,?
Vitamina B12 (Cobalamina),"1,4 µg","0,63 µg",?,?,?,?,?,?,?,?,?,?
Ferro,"5,3 mg","2,38 mg",?,?,?,?,?,?,?,?,?,?
Nutrition score - France,11,11,"+47%7,5","+47%7,5","+68%6,54","+68%6,54","+45%7,61","-8%11,9","+1.154%0,877","+259%3,06","+257%3,08","+184%3,87"
Nutri-Score,D,D,C,C,C,C,C,D,B,C,C,C
