,0,1,2,3,4,5
1,Categoria merceologica: 8002 - farine e amidi di cereali,,,,,
2,Componenti Alimentari,Valore,Fonte,Codice,Classe,Note
3,Contenuti in 100 g / unità,,,,,
4,COMPONENTI PRINCIPALI,,,,,
5,"Parte edibile, %",100,02,10,,
6,"Energia, ricalcolata, kJ",1367,86,,,
7,"Energia, Ric con fibra, kJ",1444,86,,,
8,"Energia, ricalcolata, kcal",321,86,,,
9,"Energia, Ric con fibra, kcal",340,86,,,
10,"Proteine totali, g",119,02,10,,
11,"Proteine animali, g",00,02,10,,
12,"Proteine vegetali, g",119,02,10,,
13,"Lipidi totali, g",19,02,10,,
14,"Lipidi animali, g",00,02,10,,
15,"Lipidi vegetali, g",19,02,10,,
16,"Colesterolo, mg",0,02,10,,
17,"Carboidrati disponibili (MSE), g",684,02,10,,
18,"Amido (MSE), g",663,D,,,
19,"Carboidrati solubili (MSE), g",21,02,10,,
20,"Fibra alimentare totale, g",96,02,10,,
21,"Alcol, g",00,02,10,,
22,"Acqua, g",134,02,10,,
23,MINERALI ed ELEMENTI IN TRACCIA,,,,,
24,"Ferro, mg",30,02,10,,
25,"Calcio, mg",28,02,10,,
26,"Sodio, mg",3,02,10,,
27,"Potassio, mg",337,02,10,,
28,"Fosforo, mg",300,02,10,,
29,"Zinco, mg",290,07,33,,per i nutrienti idrosolubili 07/33 non RIPR acqua=14g
30,VITAMINE IDROSOLUBILI,,,,,
31,"Vitamina B1, Tiamina, mg",040,02,10,,
32,"Vitamina B2, Riboflavina, mg",016,02,10,,
33,"Vitamina C, mg",0,02,10,,
34,"Niacina, mg",500,02,10,,
35,"Vitamina B6, mg",050,07,33,,
36,"Folati totali, µg",57,07,33,,
37,VITAMINE LIPOSOLUBILI,,,,,
38,Retinolo equivalente,,,,,
39,"Retinolo eq. (RE), µg",0,07,33,,"CALC EPIC: fonte 98, PG=271, RE = 1 mcg (approx) riferito alla voce ""Wheat flour (1.2-1.4 % ash)"""
40,"Retinolo, µg",0,07,33,,
41,"ß-carotene eq., µg",0,07,33,,"EPIC: fonte 98, PG=271, beta-carotene= 5 mcg (approx) riferito alla voce ""Wheat flour (1.2-1.4% ash)"""
42,"Vitamina E (ATE), mg",121,07,33,,"RIPR lip=2.2g vit.E= 1.4mg EPIC: fonte 41, vit.E = 2.1mg (alfa-tocoferolo equiv., acqua =12.2g) fonte 73, vit.E = 1.23mg"
43,"Vitamina D, µg",000,02,10,,
44,ACIDI GRASSI,,,,,
45,"Acidi grassi saturi totali, g",043,02,APP,,RIPR riferito a Frumento lip=1.0g saturi=0.23g 18:1=0.11g mono=0.11g 18:2=0.58g 18:3=0.03g altri PUFA=0 PUFA=0.61g
46,"Acidi grassi monoinsaturi totali, g",021,02,APP,,
47,"Acido oleico, g",021,02,APP,,
48,"Acidi grassi polinsaturi totali, g",116,02,APP,,
49,"Acido linoleico, g",110,02,APP,,
50,"Acido linolenico, g",006,02,APP,,
51,"Altri acidi grassi polinsaturi, g",000,86,,,
