Informazioni nutrizionali,Come vendutoper 100 g / 100 ml,Latte,Latticini
Grassi,"1,6 g","-28%2,23 g","-90%15,4 g"
- Acidi Grassi saturi,"1,2 g","-21%1,52 g","-88%9,61 g"
Carboidrati,"4,4 g","-8%4,77 g","-28%6,1 g"
- Zuccheri,"4,4 g","-8%4,76 g","-19%5,42 g"
Fibra alimentare,0 g,0 g,"-100%0,133 g"
Proteine,"3,2 g","-2%3,28 g","-59%7,89 g"
Sale,"0,19 g","+65%0,115 g","-53%0,405 g"
Sodio,"0,075 g","+65%0,045 g","-53%0,159 g"
Vitamina D (colecalciferolo),1 µg,?,?
Vitamina B9 (Acido folico),40 µg,?,?
Vitamina B12 (Cobalamina),"0,5 µg",?,?
Calcio,120 mg,-0%120 mg,-55%268 mg
Nutrition score - France,0,"-100%0,323","-100%5,86"
Nutri-Score,B,B,C
