Informazioni nutrizionali,Come vendutoper 100 g / 100 ml,Come vendutoper porzione (21 g),Sugary snacks
Grassi,5 g,"1,05 g","-78%22,3 g"
- Acidi Grassi saturi,3 g,"0,63 g","-72%10,9 g"
Carboidrati,"78,2 g","16,4 g","+33%58,8 g"
- Zuccheri,"39,4 g","8,27 g","+47%26,8 g"
- Amido,"35,6 g","7,48 g",?
- Polialcoli/polioli (alcoli degli zuccheri),"3,2 g","0,672 g",?
Fibra alimentare,"1,4 g","0,294 g","-68%4,39 g"
Proteine,"5,4 g","1,13 g","-24%7,15 g"
Sale,"1,2 g","0,252 g","+154%0,472 g"
Sodio,"0,472 g","0,099 g","+154%0,186 g"
Vitamina B1 (tiamina),"1,2 mg","0,252 mg",?
Vitamina B2 (Riboflavina),"1,6 mg","0,336 mg",?
Vitamina B3 / Vitamina PP (Niacina),18 mg,"3,78 mg",?
Vitamina B6 (piridoxina),"0,002 g",0 g,?
Vitamina B9 (Acido folico),200 µg,42 µg,?
Vitamina B12 (Cobalamina),"2,5 µg","0,525 µg",?
Vitamina B5 (Acido pantotenico),6 mg,"1,26 mg",?
Ferro,14 mg,"2,94 mg",?
Nutrition score - France,18,18,"+8%16,7"
Nutri-Score,D,D,D
