,0,1,2
1,Parte edibile (%):,100,
2,Acqua (g):,13.1,
3,Proteine (g):,12.4,
4,Lipidi(g):,3.3,
5,Colesterolo (mg):,0,
6,Carboidrati disponibili (g):,62.5,
7,Amido (g):,,
8,Zuccheri solubili (g):,,
9,Fibra totale (g):,6,
10,Fibra solubile (g):,1.03,
11,Fibra insolubile (g):,5.01,
12,Alcol (g):,0,
13,Energia (kcal):,314,
14,Energia (kJ):,1312,
15,Sodio (mg):,,
16,Potassio (mg):,450,
17,Ferro (mg):,4,
18,Calcio (mg):,110,
19,Fosforo (mg):,330,
20,Magnesio (mg):,,
21,Zinco (mg):,,
22,Rame (mg):,,
23,Selenio (µg):,,
24,Tiamina (mg):,0.6,
25,Riboflavina (mg):,,
26,Niacina (mg):,4.4,
27,Vitamina A retinolo eq. (µg):,,
28,Vitamina C (mg):,,
29,Vitamina E (mg):,,
